Unnamed: 0,RBD,NOM_RBD,NOM_COM_RBD,NOM_DEPROV_RBD,LATITUD,LONGITUD,n_postulaciones,vacantes,n_postulaciones_p,vacantes_p
8060,10074,ESCUELA ALIANZA,CERRO NAVIA,SANTIAGO PONIENTE,-33.41458837999999,-70.76228048,66.0,182.0,0.00013124142456600848,0.0007250273877103874
8061,10075,LICEO POLIVALENTE LOS HEROES DE LA CONCEPCIÓN,CERRO NAVIA,SANTIAGO PONIENTE,-33.42281724,-70.74179704,197.0,260.0,0.0003917357672652071,0.001035753411014839
8062,10076,COMPLEJO EDUCACIONAL PEDRO PRADO,LO PRADO,SANTIAGO PONIENTE,-33.44430155,-70.72837157,487.0,323.0,0.0009684026327825171,0.0012867244298376656
8063,10077,LICEO MUN. CENTRO EDUCACIONAL PUDAHUEL,PUDAHUEL,SANTIAGO PONIENTE,-33.44455765,-70.75031812,204.0,268.0,0.0004056553122949353,0.0010676227467383726
8065,10080,ESCUELA TENIENTE HERNAN MERINO CORREA,PUDAHUEL,SANTIAGO PONIENTE,-33.43256326,-70.76105032,83.0,167.0,0.00016504603392391974,0.000665272383228762
8066,10081,ESCUELA ESTRELLA DE CHILE,PUDAHUEL,SANTIAGO PONIENTE,-33.43659884,-70.74768617,405.0,426.0,0.0008053451052914156,0.0016970421272781595
8067,10083,ESCUELA PRESIDENTE ROOSEVELT,CERRO NAVIA,SANTIAGO PONIENTE,-33.4340388,-70.73817167,150.0,249.0,0.00029827596492274655,0.0009919330743949806
8068,10085,ESCUELA ESTADO DE FLORIDA,PUDAHUEL,SANTIAGO PONIENTE,-33.43298071,-70.76666391,186.0,152.0,0.0003698621965042057,0.0006055173787471367
8069,10086,ESCUELA REPUBLICA DE ITALIA,CERRO NAVIA,SANTIAGO PONIENTE,-33.42661641,-70.73442201,100.0,144.0,0.00019885064328183102,0.0005736480430236032
8070,10087,ESCUELA REPUBLICA DE CROACIA,CERRO NAVIA,SANTIAGO PONIENTE,-33.43412811999999,-70.73019633,102.0,133.0,0.00020282765614746765,0.0005298277064037446
8071,10088,ESCUELA HERMINDA DE LA VICTORIA,CERRO NAVIA,SANTIAGO PONIENTE,-33.42472532,-70.73740401,83.0,164.0,0.00016504603392391974,0.000653321382332437
8072,10089,ESCUELA JAIME GOMEZ GARCIA,LO PRADO,SANTIAGO PONIENTE,-33.44252746,-70.71958863,178.0,152.0,0.0003539541450416592,0.0006055173787471367
8073,10090,ESCUELA ALEXANDER GRAHAM BELL,PUDAHUEL,SANTIAGO PONIENTE,-33.43262897,-70.74151245,124.0,191.0,0.00024657479766947046,0.0007608803903993626
8074,10091,ESCUELA PROFESORA GLADYS VALENZUELA V,LO PRADO,SANTIAGO PONIENTE,-33.44743503,-70.72679602,212.0,260.0,0.0004215633637574818,0.001035753411014839
8075,10092,ESCUELA GOLDA MEIR,LO PRADO,SANTIAGO PONIENTE,-33.45061901999999,-70.71809519,154.0,82.0,0.00030622999065401974,0.0003266606911662185
8076,10093,ESCUELA MILLAHUE,CERRO NAVIA,SANTIAGO PONIENTE,-33.419499,-70.74398051,91.0,206.0,0.00018095408538646622,0.0008206353948809879
8078,10095,ESCUELA IGNACIO CARRERA PINTO,LO PRADO,SANTIAGO PONIENTE,-33.43726595999999,-70.7395033,59.0,93.0,0.0001173218795362803,0.0003704810277860771
8079,10097,ESCUELA MARISCAL DE AYACUCHO,LO PRADO,SANTIAGO PONIENTE,-33.44094360999999,-70.7366367,61.0,162.0,0.00012129889240191692,0.0006453540484015536
8080,10098,ESCUELA PROVINCIA DE ARAUCO,CERRO NAVIA,SANTIAGO PONIENTE,-33.42355907,-70.71978877,54.0,151.0,0.00010737934737218874,0.000601533711781695
8081,10099,ESCUELA GENERAL RENE ESCAURIAZA,CERRO NAVIA,SANTIAGO PONIENTE,-33.42559408,-70.74860244,114.0,108.0,0.00022668973334128735,0.0004302360322677024
8082,10100,ESCUELA EL SALITRE,PUDAHUEL,SANTIAGO PONIENTE,-33.44797673,-70.75071456,88.0,157.0,0.0001749885660880113,0.0006254357135743452
8083,10102,ESCUELA ALBERT EINSTEIN,PUDAHUEL,SANTIAGO PONIENTE,-33.43402154999999,-70.75469708,53.0,137.0,0.00010539084093937044,0.0005457623742655114
8084,10103,ESCUELA SOR TERESA DE LOS ANDES,LO PRADO,SANTIAGO PONIENTE,-33.44421297,-70.73814775,206.0,249.0,0.0004096323251605719,0.0009919330743949806
8085,10104,ESCUELA MONSENOR CARLOS OVIEDO,PUDAHUEL,SANTIAGO PONIENTE,-33.44976573999999,-70.7449827,140.0,98.0,0.00027839090059456344,0.0003903993626132855
8086,10105,ESCUELA FEDERICO ACEVEDO SALAZAR,CERRO NAVIA,SANTIAGO PONIENTE,-33.42075718,-70.75495826,165.0,255.0,0.0003281035614150212,0.0010158350761876307
8087,10106,LICEO BICENTENARIO POETA PABLO NERUDA,LO PRADO,SANTIAGO PONIENTE,-33.45513941,-70.71492292,311.0,185.0,0.0006184255006064944,0.0007369783886067125
